num_node,node_min_capacity,node_capacity,num_copy,strategy,total_capacity,num_stored,num_utilized_node,utilized_capacity,redundancy
12000,16,64,3,Vanilla,766716,45381,11985,135342,2.9823494
12000,16,64,3,Vanilla,776892,45593,11981,135813,2.9788125
12000,16,64,3,Vanilla,773886,40258,11967,120216,2.9861393
12000,16,64,3,Vanilla,773138,36794,11961,110099,2.9923086
12000,16,64,3,Vanilla,771145,38864,11967,116194,2.9897592
12000,16,64,3,Vanilla,770775,44647,11977,133181,2.9829776
12000,16,64,3,Vanilla,775316,51145,11988,151356,2.9593508
12000,16,64,3,Vanilla,765022,42515,11971,126913,2.9851346
12000,16,64,3,Vanilla,778349,32438,11911,97123,2.9941118
12000,16,64,3,Vanilla,777071,42900,11980,127959,2.9827273
12000,16,64,3,Vanilla,765803,40931,11968,122234,2.986343
12000,16,64,3,Vanilla,769645,40792,11988,121780,2.9853892
12000,16,64,3,Vanilla,770214,39493,11984,118061,2.989416
12000,16,64,3,Vanilla,774759,41476,11978,123852,2.9861124
12000,16,64,3,Vanilla,770953,55312,11988,163412,2.9543679
12000,16,64,3,Vanilla,774418,48090,11991,143180,2.9773343
12000,16,64,3,Vanilla,774370,34675,11933,103828,2.9943187
12000,32,64,3,Vanilla,768684,55496,11997,166352,2.9975493
12000,32,64,3,Vanilla,774856,61689,11995,184755,2.9949424
12000,32,64,3,Vanilla,780664,70664,11997,211131,2.9878156
12000,32,64,3,Vanilla,771989,58847,11990,176291,2.9957516
12000,32,64,3,Vanilla,771186,61431,11999,183730,2.9908352
12000,32,64,3,Vanilla,774525,69971,11999,209146,2.9890382
12000,32,64,3,Vanilla,772574,71212,11999,212800,2.9882605
12000,32,64,3,Vanilla,769015,56616,11999,169649,2.996485
12000,32,64,3,Vanilla,772702,80644,12000,239987,2.9758816
12000,32,64,3,Vanilla,774410,76210,11999,227259,2.9820101
12000,32,64,3,Vanilla,775824,56305,11993,168731,2.996732
12000,32,64,3,Vanilla,775294,60164,11997,180074,2.9930522
12000,32,64,3,Vanilla,775942,55637,11995,166800,2.998005
12000,32,64,3,Vanilla,775183,61802,11999,184940,2.9924598
12000,32,64,3,Vanilla,769426,69691,11999,208258,2.9883056
12000,32,64,3,Vanilla,770087,68564,12000,205058,2.9907532
12000,32,64,3,Vanilla,771451,75864,12000,226225,2.9819808
12000,32,64,3,Vanilla,776231,52534,11990,157393,2.9960215
12000,32,64,3,Vanilla,780561,66239,11997,198229,2.9926326
12000,32,64,3,Vanilla,778179,64741,11998,193852,2.9942694
12000,32,64,3,Vanilla,769865,52511,11985,157406,2.9975815
12000,32,64,3,Vanilla,771909,66814,11997,199879,2.9915736
12000,32,64,3,Vanilla,770476,61348,11996,183781,2.995713
12000,32,64,3,Vanilla,770605,67279,11996,201328,2.9924345
12000,32,64,3,Vanilla,769692,48296,11988,144798,2.9981365
12000,32,64,3,Vanilla,773961,78180,11998,233151,2.9822333
12000,32,64,3,Vanilla,774678,70309,11998,210039,2.98737
